city,district
广州,荔湾、海珠、越秀、天河、白云、黄埔、花都、番禺、南沙、增城、从化
深圳,宝安、龙岗、罗湖、福田、南山、盐田
佛山,禅城、南海、顺德、三水、高明
东莞,南城、莞城、万江、石碣、石龙、茶山、石排、企石、横沥、桥头、谢岗、东坑、常平、寮步、大朗、黄江、清溪、塘厦、凤岗、长安、虎门、厚街、沙田、道深、洪梅麻涌、中堂、高涉、樟木头、大岭山、望牛墩
中山,石岐、火炬、五桂山、小榄、古、横栏、东升、港口、沙溪、大涌、黄圃、南头、东凤、阜沙、三角、民众、南朗、三乡、板芙、神湾深圳、坦洲
珠海,香州、金湾、斗门、香洲
江门,江海、蓬江、新会、台山、开平、鹤山、恩平
肇庆, 端州、鼎湖、高要、四会、广宁、怀集、封开、德庆
惠州,惠城、惠阳、博罗、惠东、龙门
汕头,金平、龙湖、濠江、潮阳、潮南、澄海、南澳
潮州,湘桥、潮安、饶平、枫溪
揭阳,榕城、普宁、惠来、揭东、揭西
汕尾,陆丰、海丰、陆河
湛江,赤坎、霞山、坡头、麻章、廉江、雷州、吴川、遂溪、徐闻
茂名,茂南、茂港、高州、化州、信宜、电白
阳江,江城、阳春、阳西、阳东
韶关,浈江、武江、曲江、乐昌、南雄、始兴、仁化、翁源、新丰、乳源
清远,清城、英德、连州、佛冈、阳山、清新、连山壮族、连南
云浮,云城、云安、郁南、新兴、罗定
梅州,梅江、兴宁、大埔、丰顺、五华、平远、蕉岭
河源,源城、龙川、和平、连平、紫金、东源
